,url,title,year
0,https://live.staticflickr.com/7379/16376235738_735591385c_o.jpg,"Parasol, Lincoln Era Re-enactor 2014",2014
1,https://live.staticflickr.com/7416/16209243370_f6a0d752ae_o.jpg,Ball Dress LACMA M.2007.211.872a-b (4 of 7),2007
2,https://live.staticflickr.com/8593/16209245060_e2eb58503a_o.jpg,Ball Dress LACMA M.2007.211.872a-b (5 of 7),2007
